subject_id,name_cn,name,score,total,year,company,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
326,攻壳机动队 S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,9.2,9401,2004.0,Production I.G,57,7,11,9,28,85,326,1338,3136,4404
876,CLANNAD 〜AFTER STORY〜,CLANNAD 〜AFTER STORY〜,9.1,29136,2008.0,京都アニメーション,150,50,50,82,242,596,1440,3565,7316,15645
25961,猫和老鼠,Tom and Jerry,9.1,13171,1940.0,Metro-Goldwyn-Mayer cartoon studio→Rembrandt Films cartoons→Sib Tower 12 cartoons→Hanna-Barbera Productions / Turner Entertainment,61,18,13,11,38,194,659,1910,3678,6589
253,星际牛仔,カウボーイビバップ,9.1,18324,1998.0,サンライズ,62,14,17,24,100,274,856,2711,5878,8388
324,攻壳机动队 STAND ALONE COMPLEX,攻殻機動隊 STAND ALONE COMPLEX,9.1,10728,2002.0,Production I.G,31,7,9,18,50,143,398,1751,3970,4351
1728,浪客剑心 追忆篇,るろうに剣心 -明治剣客浪漫譚- 追憶編,8.9,8930,1999.0,,11,2,6,7,31,138,563,1923,3370,2879
6049,新世纪福音战士剧场版 Air/真心为你,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,8.9,20091,1997.0,,57,14,14,56,115,403,1392,3947,7138,6955
237,攻壳机动队,GHOST IN THE SHELL / 攻殻機動隊,8.9,11858,1995.0,Production I.G,20,7,7,13,61,172,691,2686,4783,3418
10380,命运石之门,STEINS;GATE,8.8,37036,2011.0,WHITE FOX,81,29,30,73,252,766,2589,7885,13731,11600
211567,3月的狮子 第二季,3月のライオン 第2シリーズ,8.8,9798,2017.0,SHAFT,28,8,6,18,68,178,689,2364,3413,3026
1428,钢之炼金术师 FULLMETAL ALCHEMIST,鋼の錬金術師 FULLMETAL ALCHEMIST,8.8,23177,2009.0,BONES,187,29,28,53,203,496,1625,4958,8193,7405
321,机动警察剧场版2 和平保卫战,機動警察パトレイバー 2 the Movie,8.8,3706,1993.0,,11,6,7,7,16,83,251,876,1332,1117
839,蓝色恐惧,PERFECT BLUE,8.8,10457,1998.0,,12,10,10,13,52,169,664,2646,4474,2407
110467,白箱,SHIROBAKO,8.7,21816,2014.0,P.A.WORKS,35,16,15,34,111,371,1530,5884,8286,5534
2907,银河英雄传说,銀河英雄伝説,8.8,2729,1988.0,キティ・フィルム三鷹スタジオ(1～3期)、ティー・ビー・オー(1～2期)、ケイファクトリー(4期),13,6,6,11,24,78,196,578,921,896
3375,凉宫春日的消失,涼宮ハルヒの消失,8.7,22698,2010.0,,42,12,20,34,140,489,1851,5715,8291,6104
265,新世纪福音战士,新世紀エヴァンゲリオン,8.7,31661,1995.0,タツノコプロ、GAINAX,123,41,70,106,267,951,2672,6876,10818,9737
263750,进击的巨人 第三季 Part.2,進撃の巨人 Season 3 Part.2,8.7,21117,2019.0,,142,26,34,44,116,402,1471,5402,7742,5738
840,千年女优,千年女優,8.7,11947,2001.0,"ジェンコ、MADHOUSE,MADHOUSE",14,6,7,20,69,233,986,3094,4560,2958
238,攻壳机动队2 无罪,イノセンス,8.7,7671,2004.0,Production I.G,18,6,6,16,51,154,581,1974,2925,1940
11834,银魂',銀魂',8.7,13039,2011.0,サンライズ,93,24,28,31,109,348,1200,3093,3698,4415
340,虫师,蟲師,8.7,11197,2005.0,ARTLAND,19,8,10,18,85,251,946,2837,4127,2896
247,银魂,銀魂,8.7,13061,2006.0,サンライズ,80,30,28,43,118,366,1181,3178,3964,4073
93739,乒乓,ピンポン THE ANIMATION,8.7,15973,2014.0,"タツノコプロ,アニメ「ピンポン」製作委員会（フジテレビジョン、Aniplex、京楽産業ホールディングス、電通）",22,7,17,27,78,289,1313,4397,6498,3325
1270,水星领航员 第三季,ARIA The ORIGINATION,8.7,2688,2008.0,ハルフィルムメーカー（Hal Film Maker）,16,2,3,10,34,88,271,602,764,898
37460,哆啦A梦 大山版,ドラえもん,8.7,3006,1979.0,,7,3,2,4,9,61,296,900,889,835
216371,莉兹与青鸟,リズと青い鳥,8.6,18468,2018.0,京都アニメーション,68,21,15,45,140,529,1787,4819,6157,4887
311,千与千寻,千と千尋の神隠し,8.6,25319,2001.0,製作：松下武義、氏家齊一郎、成田豊、星野康二、植村伴次郎、相原宏徳,17,7,14,24,104,542,2408,7528,9208,5467
1608,灌篮高手,スラムダンク,8.6,9066,1993.0,,34,14,19,35,82,275,890,2281,2980,2456
67753,明日之丈2,あしたのジョー2,8.7,786,1980.0,,11,2,1,2,8,18,54,162,283,245
1015,机动战士高达0080 口袋里的战争,機動戦士ガンダム0080 ポケットの中の戦争,8.6,5464,1989.0,,12,2,6,10,31,114,458,1569,2182,1080
1962,大闹天宫,大闹天宫,8.6,5430,,上海美术电影制片厂,25,12,10,12,54,147,523,1413,1801,1433
4019,四叠半神话大系,四畳半神話大系,8.6,14291,2010.0,,19,9,11,33,97,324,1303,4063,5753,2679
9717,魔法少女小圆,魔法少女まどか☆マギカ,8.6,35782,2011.0,SHAFT,87,23,33,90,290,1155,3652,9564,12889,7999
44693,剧场版 魔法少女小圆 [新篇] 叛逆的物语,劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,8.6,16341,2013.0,SHAFT,23,14,15,37,118,448,1680,4774,5693,3539
400602,葬送的芙莉莲,葬送のフリーレン,8.6,31721,2023.0,MADHOUSE,122,31,51,91,293,934,3103,8881,11368,6847
770,天元突破 红莲螺岩,天元突破グレンラガン,8.6,15402,2007.0,,30,18,19,69,168,553,1514,4117,5468,3446
106207,虫师 续章 第2部分,蟲師 続章 第2クール,8.6,4127,2014.0,,8,3,5,5,16,92,368,1304,1592,734
254,混沌武士,サムライチャンプルー,8.5,10340,2004.0,,9,5,9,23,64,234,1061,3212,3831,1892
9622,机动战士Z高达,機動戦士Ζガンダム,8.5,4814,1985.0,名古屋テレビ、創通エージェンシー、日本サンライズ,13,5,7,9,40,136,496,1357,1802,949
325285,奇巧计程车,オッドタクシー,8.5,19826,2021.0,P.I.C.S. × OLM TEAM YOSHIOKA,32,17,14,28,84,363,1656,6559,8487,2586
518519,航海王：粉丝来信,ONE PIECE FAN LETTER,8.5,3725,2024.0,東映アニメーション,9,4,4,7,17,93,368,1173,1370,680
146457,瑞克和莫蒂 第三季,Rick and Morty Season 3,8.5,4997,2017.0,,20,3,4,13,18,98,515,1650,1778,898
294135,剧场版 少女☆歌剧 Revue Starlight,劇場版 少女☆歌劇 レヴュースタァライト,8.5,10004,2021.0,KINEMA CITRUS,45,19,25,31,104,324,1132,2690,3417,2217
18692,哆啦A梦,ドラえもん,8.5,5570,2005.0,テレビ朝日、アサツー ディ・ケイ / ADKエモーションズ、シンエイ動画,5,5,5,5,36,170,706,1786,1583,1269
298,天空之城,天空の城ラピュタ,8.5,14487,1986.0,スタジオジブリ,7,3,4,17,65,351,1644,4889,5008,2499
92705,虫师 续章,蟲師 続章,8.5,4549,2014.0,,6,4,3,9,22,98,476,1539,1594,798
4583,机动战士高达 逆袭的夏亚,機動戦士ガンダム 逆襲のシャア,8.5,4637,1988.0,,8,4,7,10,23,133,475,1419,1790,768
9912,日常,日常,8.5,23828,2011.0,京都アニメーション,37,16,23,73,228,823,2651,7327,7819,4831
39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,8.5,7931,1998.0,,30,7,8,10,59,217,870,2561,2610,1559
841,红辣椒,パプリカ,8.5,12217,2006.0,,11,7,9,26,71,320,1289,4138,4444,1902
152091,吹响吧！上低音号 第二季,響け！ユーフォニアム2,8.5,16600,2016.0,京都アニメーション,44,16,12,31,79,342,1753,6022,5542,2759
848,蜂蜜与四叶草II,ハチミツとクローバー II,8.5,4284,2006.0,J.C.STAFF,10,6,8,13,35,119,520,1313,1460,800
132373,猫的协奏曲,The Cat Concerto,8.5,1072,1947.0,,10,2,2,1,8,20,125,322,329,253
1333,剧场版 空之境界 第五章 矛盾螺旋,劇場版 空の境界 第五章 矛盾螺旋,8.4,11563,2008.0,,18,3,10,24,54,308,1298,4149,3874,1825
3302,福音战士新剧场版：破,ヱヴァンゲリヲン新劇場版:破,8.4,16801,2009.0,スタジオkhara,33,10,21,38,109,481,1952,5826,5490,2841
1453,少女革命,少女革命ウテナ,8.4,5248,1997.0,J.C.STAFF,26,12,14,26,61,237,598,1399,1785,1090
93377,瑞克和莫蒂 第一季,Rick and Morty Season 1,8.4,5823,2013.0,,16,4,6,6,34,119,647,2183,1942,866
173849,排球少年 乌野高校 VS 白鸟泽学园高校,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,8.4,6200,2016.0,,13,3,6,9,39,121,639,2401,2112,857
847,蜂蜜与四叶草,ハチミツとクローバー,8.4,5550,2005.0,J.C.STAFF,13,9,3,18,66,218,691,1714,1752,1066
141530,瑞克和莫蒂 第二季,Rick and Morty Season 2,8.4,4816,2015.0,,18,1,2,6,21,96,530,1847,1617,678
1773,死亡笔记,DEATH NOTE,8.4,23176,2006.0,,35,12,19,47,147,608,2752,8167,8319,3070
1704,猎人,HUNTER×HUNTER,8.4,5417,1999.0,,4,1,3,20,47,186,657,1880,1678,941
3774,轻音少女 第二季,けいおん！！,8.4,22726,2010.0,京都アニメーション,73,19,35,56,244,894,2966,7444,6265,4730
10291,攻壳机动队2.0,GHOST IN THE SHELL / 攻殻機動隊2.0,8.4,2867,2008.0,Production I.G,11,2,7,14,21,90,291,992,955,484
1671,化物语,化物語,8.4,23161,2009.0,,29,17,33,59,186,756,2959,7992,7336,3794
29883,新・福音战士剧场版：终,シン・エヴァンゲリオン劇場版:│▌,8.4,13135,2021.0,スタジオkhara,77,32,45,81,143,522,1541,3900,4123,2671
335036,英雄联盟：双城之战,Arcane,8.4,11193,2021.0,,72,23,17,44,91,300,1174,3829,3928,1715
12426,轻音少女 剧场版,映画けいおん！,8.4,15219,2011.0,,29,15,14,34,125,540,2053,5592,3916,2901
328609,孤独摇滚！,ぼっち・ざ・ろっく！,8.4,36652,2022.0,CloverWorks,191,54,54,107,330,1243,4561,12557,11266,6289
315574,赛马娘 Pretty Derby 第二季,ウマ娘 プリティーダービー Season 2,8.4,16440,2021.0,,67,26,29,56,166,619,2042,5319,5441,2675
470660,剧场版 链锯人 蕾塞篇,劇場版 チェンソーマン レゼ篇,8.4,5019,2025.0,MAPPA,5,3,4,12,32,120,592,1927,1715,609
310,幽灵公主,もののけ姫,8.4,11549,1997.0,山下辰巳、藤井睦夫,7,5,8,29,85,347,1594,4218,3545,1711
3553,∀高达,∀ガンダム,8.4,2596,1999.0,フジテレビ、サンライズ,16,4,6,13,29,109,351,709,856,503
51,CLANNAD,CLANNAD -クラナド-,8.4,26096,2007.0,京都アニメーション,102,45,50,116,402,1226,3515,7809,7443,5388
320,攻壳机动队 S.A.C. Solid State Society,攻殻機動隊 STAND ALONE COMPLEX Solid State Society,8.4,3662,2006.0,Production I.G,10,4,2,6,21,81,410,1502,1123,503
248154,强风吹拂,風が強く吹いている,8.4,9595,2018.0,,16,8,9,27,80,285,1123,3679,3071,1297
793,Code Geass 反叛的鲁路修,コードギアス 反逆のルルーシュ,8.3,20698,2006.0,サンライズ,60,13,31,73,176,793,2729,7210,6467,3146
23304,传说巨神伊迪安 发动篇,伝説巨神イデオン 発動篇,8.4,893,1982.0,,12,2,2,5,5,33,103,260,271,200
295,风之谷,風の谷のナウシカ,8.3,8445,1984.0,トップクラフト(スタジオジブリ),9,6,6,23,52,264,1185,3176,2522,1202
240386,冰海战记,ヴィンランド・サガ,8.3,12071,2019.0,,22,18,19,41,111,316,1350,4682,4196,1316
325585,无职转生～到了异世界就拿出真本事～ 第2部分,無職転生 ～異世界行ったら本気だす～ 第2クール,8.3,22022,2021.0,,143,36,44,68,183,744,2800,7908,6546,3550
822,FLCL,フリクリ,8.3,9442,2000.0,Production I.G / GAINAX,30,14,26,44,119,416,1326,2975,2805,1687
8,Code Geass 反叛的鲁路修R2,コードギアス 反逆のルルーシュR2,8.3,17312,2008.0,サンライズ,52,22,41,85,211,716,2392,5715,5244,2834
317613,辉夜大小姐想让我告白-超级浪漫-,かぐや様は告らせたい-ウルトラロマンティック-,8.3,20717,2022.0,,53,21,12,31,159,640,2824,7967,6320,2690
147068,3月的狮子,3月のライオン,8.3,10350,2016.0,SHAFT,18,6,8,31,102,321,1303,4074,3157,1330
11577,偶像大师,THE IDOLM@STER,8.3,8080,2011.0,A-1 Pictures,13,4,10,32,117,375,1223,2627,2257,1422
262897,摇曳露营△ 第二季,ゆるキャン△ SEASON 2,8.3,11393,2021.0,DeNAコンテンツ企画部,29,12,5,21,96,297,1577,4612,3217,1527
72266,少女与战车 剧场版,ガールズ&パンツァー 劇場版,8.3,6663,2015.0,アクタス,18,4,6,18,60,198,899,2554,2055,851
115908,吹响吧！上低音号,響け！ユーフォニアム,8.3,20712,2015.0,京都アニメーション,49,18,24,42,124,580,2679,8681,5978,2537
3128,数码宝贝大冒险,デジモンアドベンチャー,8.3,8135,1999.0,フジテレビ、読売広告社、東映アニメーション,10,5,9,8,48,285,1335,3041,2143,1251
246001,我的三体 章北海传,我的三体 章北海传,8.3,5252,2020.0,,41,5,18,12,37,126,588,2037,1787,601
124341,水星领航员 The AVVENIRE,ARIA The AVVENIRE,8.3,1620,2015.0,TYO Animations（ゆめ太カンパニー）,6,2,2,9,20,75,219,557,406,324
298477,来自深渊 烈日的黄金乡,メイドインアビス 烈日の黄金郷,8.3,12457,2022.0,,42,14,28,48,98,416,1673,4573,4010,1555
276,幸运星,らき☆すた,8.3,17506,2007.0,,37,11,18,59,166,630,2427,6696,5074,2388
441795,我心里危险的东西 第二季,僕の心のヤバイやつ 第2期,8.3,12220,2024.0,,71,39,29,46,143,486,1674,4210,3424,2098
8986,蜡笔小新：大人王国的反击,クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲,8.3,2670,2001.0,,3,3,2,3,16,92,396,1048,721,386
605,棋魂,ヒカルの碁,8.3,4754,2001.0,,3,4,6,5,47,184,741,1729,1368,667
176615,昭和元禄落语心中 -助六再临篇-,昭和元禄落語心中 -助六再び篇-,8.3,2494,2017.0,落語心中協会,11,2,6,5,35,88,304,914,798,331
217300,进击的巨人 第三季,進撃の巨人 Season 3,8.3,18684,2018.0,,68,17,22,35,93,516,2516,8043,4968,2406
975,航海王,ONE PIECE,8.3,13719,1999.0,フジテレビ、東映アニメーション、ASATSU-DK→ADK [ アサツー ディ・ケイ ] →ADKエモーションズ（非クレジット）,90,45,37,110,341,894,2186,3569,2630,3817
309311,赛博浪客,Cyberpunk: Edgerunners,8.3,24057,2022.0,TRIGGER,30,21,37,71,212,868,3279,9508,7339,2692
842,东京教父,東京ゴッドファーザーズ,8.3,7747,2003.0,,7,6,6,9,44,220,1028,3416,2213,798
120236,排球少年 第二季,ハイキュー!! セカンドシーズン,8.3,6736,2015.0,,13,4,7,7,54,127,802,3239,1788,695
47576,银魂' 延长战,銀魂' 延長戦,8.3,4395,2012.0,,35,6,12,15,61,203,686,1453,990,934
4163,百变之星,カレイドスター,8.3,1418,2003.0,GONZO DIGIMATION / アニメーション共同制作：GONZO DIGIMATION、G&G Entertainment,7,1,4,10,21,77,198,415,419,266
1424,轻音少女,けいおん！,8.2,28004,2009.0,京都アニメーション,62,28,34,72,320,1247,4437,10430,6855,4519
1269,水星领航员 第二季,ARIA The NATURAL,8.3,2561,2006.0,ハルフィルムメーカー（Hal Film Maker）,2,3,5,8,42,100,399,922,664,416
33352,爆漫王。3,バクマン。3,8.3,4920,2012.0,J.C.STAFF,3,3,7,11,31,197,683,2045,1338,602
113292,JOJO的奇妙冒险 星尘斗士 埃及篇,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,8.2,16345,2015.0,,18,5,10,32,86,413,2426,7312,4330,1713
203526,来自深渊,メイドインアビス,8.2,17606,2017.0,,19,11,27,40,133,516,2391,7610,5222,1637
1959,怪物,MONSTER,8.2,4166,2004.0,,8,4,7,23,53,190,618,1450,1245,568
1856,十二国记,十二国記,8.2,3978,2002.0,,7,1,10,15,76,178,578,1360,1211,542
9565,龙珠,ドラゴンボール,8.2,5734,1986.0,,3,6,4,10,49,253,1012,2118,1420,859
207195,摇曳露营△,ゆるキャン△,8.2,16135,2018.0,,24,10,14,25,107,503,2457,6982,4180,1833
1940,魔卡少女樱,カードキャプターさくら,8.2,10734,1998.0,制作著作：NHK；共同制作：NHKエンタープライズ21、総合ビジョン,13,8,9,13,85,438,1950,4110,2454,1654
68812,物语系列 第二季,〈物語〉シリーズ セカンドシーズン,8.2,12185,2013.0,SHAFT,16,2,2,13,78,363,1776,5500,3187,1248
1891,少女革命剧场版 思春期默示录,少女革命ウテナ アドゥレセンス黙示録,8.2,2820,1999.0,J.C.STAFF,4,0,6,14,30,110,455,1003,846,352
148037,伤物语Ⅲ冷血篇,傷物語Ⅲ冷血篇,8.2,8479,2017.0,SHAFT,3,2,3,13,45,221,1190,4061,2114,827
475354,物语系列 外传季&怪物季,〈物語〉シリーズ オフ&モンスターシーズン,8.2,5401,2024.0,,14,2,1,3,33,172,821,2352,1389,614
2741,棒球英豪,タッチ,8.2,1866,1985.0,,6,1,6,10,31,87,292,599,531,303
110148,怪诞小镇 第二季,Gravity Falls Season 2,8.3,1113,2014.0,,4,0,1,2,5,38,166,448,303,146
88473,虫师 特別篇 蚀日之翳,蟲師 特別篇 日蝕む翳,8.2,2988,2014.0,,4,1,1,2,17,103,440,1320,764,336
1104,机器人总动员,Wall·E,8.2,7146,2008.0,,3,3,5,9,48,279,1218,2892,1817,872
302,龙猫,となりのトトロ,8.2,12106,1988.0,制作担当：田中栄子,11,3,4,22,85,444,1977,5102,3053,1405
120791,银魂°,銀魂°,8.2,4458,2015.0,,18,5,8,20,59,232,692,1618,1056,750
55770,进击的巨人,進撃の巨人,8.2,28672,2013.0,,124,35,38,81,297,1116,4379,11734,7004,3864
860,星际牛仔 天国之扉,カウボーイビバップ 天国の扉,8.2,6718,2001.0,,7,2,7,14,47,257,1037,2839,1829,679
2496,物怪,モノノ怪,8.2,4110,2007.0,モノノ怪制作委員会（フジテレビジョン、アスミック・エースエンタテインメント、東映アニメーション、電通、ソニー・ミュージックエンタテインメント、スカパー・ウェルシンク）,5,4,9,21,43,176,640,1537,1198,477
120700,虫师 特别篇 铃之雫,蟲師 特別編「鈴の雫」,8.2,2346,2015.0,,2,2,0,3,15,91,363,1007,594,269
315,钢之炼金术师,鋼の錬金術師,8.2,9529,2003.0,BONES,45,19,14,31,109,421,1478,3454,2777,1181
129807,命运石之门 0,シュタインズ・ゲート ゼロ,8.2,14396,2018.0,,28,15,21,59,192,720,2385,5221,3745,2010
10356,猎人 OVA,HUNTER×HUNTER OVA 第1期,8.2,1702,2002.0,,0,0,4,5,18,56,294,656,470,199
282684,悠哉日常大王 Nonstop,のんのんびより のんすとっぷ,8.2,5845,2021.0,SILVER LINK.,1,2,7,9,42,183,983,2593,1368,657
509986,末日后酒店,アポカリプスホテル,8.2,12809,2025.0,,25,13,14,41,123,502,1882,5130,4030,1049
40003,福星小子2 绮丽梦中人,うる星やつら2 ビューティフル・ドリーマー,8.2,1406,1984.0,,5,1,3,3,17,52,187,550,458,130
48745,攻壳机动队 STAND ALONE COMPLEX 笑面男,攻殻機動隊 STAND ALONE COMPLEX the Laughing Man,8.2,1473,2005.0,,3,4,1,3,14,50,223,615,375,185
965,永生之酒,BACCANO! -バッカーノ!-,8.2,11079,2007.0,,14,7,18,56,137,461,1694,4352,3183,1157
100501,太空丹迪 第二季,スペース☆ダンディ シーズン2,8.2,3546,2014.0,,8,3,3,8,36,127,483,1542,1024,312
9005,龙珠Z,ドラゴンボールZ,8.2,3702,1989.0,富士电视台·东映动画,6,3,3,6,43,215,656,1334,859,577
995,欢迎加入NHK！,N・H・Kにようこそ！,8.2,8158,2006.0,,15,10,15,28,79,401,1321,3031,2332,926
27364,冰菓,氷菓,8.2,30839,2012.0,,59,37,42,147,443,1655,5126,11066,7935,4329
21032,猎人,HUNTER×HUNTER,8.2,5996,2011.0,,13,1,12,30,77,295,996,2210,1538,824
485,凉宫春日的忧郁,涼宮ハルヒの憂鬱,8.2,17817,2006.0,,36,15,33,83,214,814,2962,6746,4720,2194
218708,比宇宙更远的地方,宇宙よりも遠い場所,8.2,14721,2018.0,,42,14,24,63,181,660,2309,5650,4151,1627
531,水星领航员,ARIA The ANIMATION,8.2,4266,2005.0,ハルフィルムメーカー（Hal Film Maker）,6,6,8,25,67,221,731,1482,1090,630
8621,战斗之魂Brave,バトルスピリッツ ブレイヴ,8.4,234,2010.0,メ〜テレ(名古屋テレビ)、サンライズ、ADK(アサツー ディ・ケイ),1,1,0,2,3,13,30,55,79,50
493,皇家国教骑士团 OVA,HELLSING OVA,8.2,6602,2006.0,サテライト（#1 - #4）→MADHOUSE（#5 - #7）→グラフィニカ（#8-10）,10,5,18,25,80,307,1064,2506,1850,737
353605,灵能百分百 第三季,モブサイコ100 Ⅲ,8.2,10673,2022.0,BONES,14,2,11,25,74,388,1791,4599,2727,1042
3996,天元突破红莲螺岩 螺岩篇,劇場版 天元突破グレンラガン 螺巌篇,8.2,3932,2009.0,,8,5,6,7,44,180,600,1613,1032,437
28205,日常 ETV版,日常 Eテレ版,8.2,2396,2012.0,,12,2,1,6,26,90,386,993,565,315
37785,来自新世界,新世界より,8.2,14392,2012.0,,46,36,42,93,204,740,2282,4792,4585,1572
12536,夏目友人帐 叁,夏目友人帳 参,8.2,8720,2011.0,NAS,15,2,7,11,79,380,1663,3606,1719,1238
